date,fix_msg
2026-02-28,fix: resolve repo metadata gaps and instruction placeholders for official task set
2026-02-28,fix: refactor verifier Check 6 false-pass and safe.directory crash
2026-02-28,fix: remove answer leakage from ccb_fix instruction.md files
2026-02-28,"fix: verifier pipefail crash, k8s false-pass guard, sg_only clone manifests"
2026-02-28,"fix: reclassify 25 SWEAP/TAC tasks as Daytona-ready (274/283, 96.8%)"
2026-02-28,fix: PythonValidator.validate_dependencies() now checks pyproject.toml
2026-02-26,fix: add /app and /logs dirs to base-image RepoQA Dockerfiles
2026-02-26,fix: make RepoQA large-repo tasks runnable with proper Dockerfiles and verifiers
2026-02-26,fix: repair 8 double-prefix repo URLs and 3 narrow/broken oracles
2026-02-26,fix: add idempotency guard to sgonly verifier wrapper and hydrate incident-113 oracle
2026-02-26,fix: repair 8 MCP-unique verifier routes and hydrate 7 empty oracles
2026-02-26,fix: use mirror .git in sgonly verifier when workspace has no HEAD
2026-02-26,fix: resolve PRE_FIX_REV dynamically in ccb_fix verifiers
2026-02-26,fix: use sg-evals mirrors in baseline Dockerfiles for new ccb_fix tasks
2026-02-26,fix: eliminate 30-min chown timeout on large-repo Docker overlay2
2026-02-25,fix: hydrate oracle fields + add repo-name normalization to evaluator
2026-02-25,fix: remove --branch flags from sg-evals mirror clones
2026-02-24,fix: baseline-local-artifact now gets local code + artifact sentinel
2026-02-24,fix: hydrate oracle fields + normalize repo names for tasks 121-141
2026-02-24,fix: add || true to oracle_checks.py invocation in 61 eval.sh files
2026-02-24,fix: remove invalid --branch flags from rust-systems Dockerfiles
2026-02-24,fix: align task 135 instruction text with oracle answer
2026-02-24,fix: guard grep -v in 16 test.sh verifiers against set -e exit
2026-02-24,fix: disable git hooks in protonmail sg_only Dockerfiles
2026-02-24,fix: add ca-certificates to all 22 base image Dockerfiles
2026-02-24,fix: add missing cd commands in 9 ccb_test Dockerfiles
2026-02-23,fix: add ccb_ prefix variants to aggregate_status suite detection
2026-02-23,fix: scope artifact config auto-detection to filtered tasks only
2026-02-23,fix: repair broken multi-stage Dockerfile.sg_only for 3 protonmail tasks
2026-02-23,fix: auto-detect artifact configs for MCP-unique selection files
2026-02-23,fix: auto-detect parallel task slots from account count in run_selected_tasks.sh
2026-02-23,fix: skip __aborted run directories in aggregate_status scanner
2026-02-23,fix: treat agent timeouts as scored results with timed_out metadata flag
2026-02-23,fix: rewrite upstream repo references in MCP instruction body at runtime
2026-02-23,fix: resolve Docker build failures for multi-repo and private sg-benchmarks tasks
2026-02-23,"fix: TAC sg_only Dockerfiles use base image, wire --tasks prebuild filter, fix perms"
2026-02-23,"fix: ansible verifier Unicode bug, add --tasks prebuild filter, fix base image deps"
2026-02-23,fix: use compact single-line JSON in clone manifests to avoid Docker parse errors
2026-02-22,fix: remove git init -b main from 67 Dockerfile.sg_only/artifact_only files
2026-02-22,fix: comprehensive task consistency audit across all 16 benchmark suites
2026-02-22,fix: align 57 Dockerfile.sg_only files with baseline FROM images + add sentinels
2026-02-22,fix: use trap EXIT for sg_only Dockerfile restore in smoke tests
2026-02-22,fix: repair 2 sg_only + 4 artifact_only Dockerfiles found by full audit
2026-02-22,fix: align 7 more Dockerfile.sg_only base images with baseline
2026-02-22,fix: regenerate MCP-unique Dockerfiles with mirror repos and correct sg_only pattern
2026-02-22,fix: oracle coverage metric bug + SOURCEGRAPH_REPOS propagation for MCP runs
2026-02-22,fix: rebuild 9 more Dockerfile.sg_only with correct ccb-repo base images
2026-02-22,fix: rebuild k8s Dockerfile.sg_only with correct ccb-repo base image
2026-02-22,fix: eliminate cp -a bottleneck in artifact verifier for large repos
2026-02-22,fix: remove stale PRD_SDLC_SUITE_REORGANIZATION.md reference from README
2026-02-22,fix: correct workdir detection in artifact Dockerfiles (ccb-repo uses /workspace)
2026-02-22,fix: update 43 stale task IDs in selected_benchmark_tasks.json
2026-02-22,fix: artifact Dockerfile regeneration + sdlc_suite_2config.sh Dockerfile selection
2026-02-22,fix: sgonly verifier uses zero-byte restore + exclude node_modules from truncation
2026-02-22,fix: check FULL_CONFIG string instead of VERIFIER_MODE for artifact detection
2026-02-22,fix: run_selected_tasks.sh uses Dockerfile.artifact_only for artifact configs
2026-02-22,fix: replace 30 bare cd commands with VERIFY_REPO-aware defaults across all waves
2026-02-21,fix: make MCP-unique instructions config-agnostic + separate artifact/direct workflows
2026-02-21,fix: re-curate compliance-057-ds oracle for v11.4.0 (ssoSettingsApi)
2026-02-21,fix: add git init -b main to 28 more Dockerfile.sg_only files
2026-02-21,fix: add git init to 38 Dockerfile.sg_only files + update selection file for SDLC renames
2026-02-21,fix: add --no-verify to protonmail sg_only git commit step
2026-02-21,fix: add git config to 50 Dockerfile.sg_only files to fix MCP build failures
2026-02-21,fix: pin SDLC MCP mirrors + propagate SOURCEGRAPH_REPO_NAME from container
2026-02-21,fix: oracle sg-benchmarks alias resolution + account round-robin bug
2026-02-21,fix: re-mirror sg-benchmarks at pinned commits + fix 5 oracles
2026-02-21,fix: temp dir race condition in MCP Dockerfile swap
2026-02-21,fix: handle None judge_score in generate_manifest.py
2026-02-21,fix: oracle provenance check + add oracle IR analysis scripts
2026-02-21,fix: multi-stage rebuild for 3 protonmail tasks with corrupted sweap-images
2026-02-21,fix: use Dockerfile.sg_only for MCP config in run_selected_tasks.sh
2026-02-21,fix: baseline gets ALL repos locally — eliminate mcp_only access restriction
2026-02-21,fix: normalize repo names in oracle_checks.py to handle github.com/ prefix
2026-02-21,"fix: repair 11 more Dockerfiles — inline ccb-repo images, truncate Docker Hub tags, fix validation script"
2026-02-21,fix: align vuln-remed-011 express version with SG mirror and improve explore-042-ds provenance guidance
2026-02-21,"fix: repair 20 Dockerfiles with broken git clone, missing python3, and missing ca-certificates"
2026-02-21,fix: add github.com/ prefix-stripping note to all MCP-unique instructions
2026-02-21,fix: paired baseline+MCP execution and correct repo names in instructions
2026-02-21,fix: use wait -n to reap zombie subshells in parallel job pool
2026-02-21,fix: add 2s stagger between parallel task launches to prevent Harbor job dir collisions
2026-02-21,fix: prevent eval.sh from exiting before writing reward.txt on score==0
2026-02-21,fix: replace hallucinated commit SHAs with real pinned tags in Dockerfiles
2026-02-21,fix: replace git fetch --depth 1 origin <sha> with full clone + checkout
2026-02-21,fix: clone all oracle repos locally in MCP-unique task Dockerfiles
2026-02-20,fix: add Harbor-compatibility test.sh wrappers for all MCP-unique tasks
2026-02-20,fix: harden artifact verifier against missing patch command
2026-02-20,fix: add artifact_full to --mcp-config flag allowlist
2026-02-20,fix: add Docker cleanup to run_selected_tasks and prebuild_images
2026-02-20,fix: harden 7 verifiers against silent Python crash losing reward file
2026-02-20,fix: catch low-reward tasks with null metrics in validation
2026-02-20,"fix: 3 verifier bugs — k8s-cri expected_changes mismatch, llamacpp RocketChat reset, PEP 508 regex"
2026-02-20,fix: close git history bypass in sg_only mode and strip scoring from instructions
2026-02-19,fix: catch FileNotFoundError in F1 JSON scorer verifiers
2026-02-19,fix: add python3 to Alpine-based design task Dockerfiles
2026-02-19,fix: quantlib Dockerfile — use libboost-dev instead of libboost-all-dev
2026-02-19,fix: terraform-code-review-001 inject_defects.sh Docker cache bust
2026-02-19,"fix: sg_only Dockerfiles for linux debug, build-requiring TAC/secure/test tasks"
2026-02-19,"fix: judge module bug fixes — schema mismatch, tie-break, validation"
2026-02-19,"fix: lazy-import harness agents, add version-pinned SG mirrors"
2026-02-18,"fix: generate Dockerfile.sg_only for 13 new tasks, fix eclipse-temurin tag"
2026-02-18,fix: replace rsync with cp -a in sgonly verifier wrappers
2026-02-18,fix: clone repo into /repo_full/ for sg_only verifier hallucination check
2026-02-18,fix: verifier hallucination check skips path validation in sg_only mode
2026-02-18,fix: correct verifier paths for largerepo ground_truth.json and codereview Dockerfile COPY
2026-02-17,fix: convert CRLF to LF line endings + fix docgen-migration-002 Dockerfile
2026-02-17,fix: navprove path mismatch + pytest config — root cause of 0% scoring
2026-02-16,fix: remove npm/claude-code from ubuntu:22.04 Dockerfiles to prevent dpkg conflict
2026-02-16,fix: truncate qutebrowser Docker image tags to 128-char limit
2026-02-16,fix: replace deprecated openjdk:17-slim with eclipse-temurin:17-jdk-jammy in sec-reach-003
2026-02-16,fix: standardize 17 task.toml schemas + register 41 tasks
2026-02-16,fix: nlqa-flow-003 ground truth schema + sec-cve-003 verifier rewrite
2026-02-16,fix: QA audit fixes for Ralph-generated benchmark tasks
2026-02-16,fix: harden ensure_fresh_token_all + add --timeout-multiplier flag
2026-02-16,fix: Update Dockerfiles with valid commit SHAs for chain tasks
2026-02-16,fix: remove ground truth file paths from linuxflbench instructions
2026-02-16,fix: correct Opus cache pricing + exclude zero-MCP SG_full runs
2026-02-16,fix: remove invalid COPY tests/ from largerepo Dockerfiles
2026-02-16,fix: add TokBefore1st column to cost efficiency display
2026-02-16,fix: count all token types in cost-efficiency metrics
2026-02-15,fix: integrate governance evaluator into enterprise report pipeline
2026-02-15,fix: expand ground truth coverage from 15 to 65 high-confidence tasks
2026-02-15,fix: transcript-first tool extraction + refined MCP audit report
2026-02-14,fix: LoCoBench SG repo resolution — derive project_id from task suffix
2026-02-14,fix: comprehensive audit and remediation of task instructions and verifiers
2026-02-14,fix: comprehensive audit and remediation of task instructions and verifiers
2026-02-14,fix: pass bash variables to Python via env vars in paired rerun script
2026-02-14,fix: use --jobs-dir instead of --runs-dir
2026-02-14,fix: remove --category flag (not a valid harbor option)
2026-02-14,fix: use BASELINE_MCP_TYPE env var instead of --agent-config-json
2026-02-14,fix: remove setup_single_account call (function doesn't exist)
2026-02-11,fix: use account1 only for LoCoBench SG_base rerun
2026-02-11,"fix: MANIFEST filtering, CrossRepo verifier, Protonmail Node, H3 repair"
2026-02-10,"fix: recover token/cost data for 59 H3-affected tasks, regenerate reports"
2026-02-10,fix: harden MANIFEST dedup and classify infra failures as errored
2026-02-09,"fix: add dependeval prefix to MANIFEST, force-build for DIBench, create gapfill_targeted.sh"
2026-02-08,fix: use timestamp-based dedup in MANIFEST generator
2026-02-08,"fix: sequential SWE-Pro execution, canary ordering, placeholder key cleanup"
2026-02-08,fix: add canary guardrails to targeted SG_full rerun script
2026-02-07,fix: update PyTorch SG repo map + document headless login in CLAUDE.md
2026-02-07,"fix: strip code fences in judge JSON parsing, chmod LoCoBench /app/project"
2026-02-07,"fix: remove MCP tool name contamination from task instructions, add metrics re-extraction"
2026-02-06,"fix: TAC score extraction, agent repo prefix, CodeReview verifier"
2026-02-06,"fix: LoCoBench mirror audit — push 079, archive invalid SG_base, fix dir_names"
2026-02-06,fix: Pin LargeRepo Dockerfile versions and filter scaffold dirs from ABC audit
2026-02-06,fix: Add LinuxFLBench suite mapping and update LoCoBench verify.py weights
2026-02-06,fix: Update SG repo mappings to use sg-benchmarks mirrors at pinned commits
2026-02-06,"fix: Fix Docker build + task ID issues for CodeReview & LinuxFLBench, add DependEval config"
2026-02-05,fix: Clarify language - all 9 benchmarks are part of the analysis
2026-02-05,fix: Include crossrepo and dibench mirrors in instance_to_mirror.json
2026-02-03,fix: per-batch token refresh and reward extraction for repoqa
2026-02-03,"fix: remove DependEval from MCP comparison, clean up locobench, add validation"
2026-02-03,fix: prevent test/evaluation file exposure to agents in 3 benchmarks
2026-02-03,fix: remove incomplete ME tasks from dependeval and fix Dockerfiles
2026-02-02,fix: pin all Sourcegraph repo names to match Docker image commits
2026-02-01,fix: update reward output paths and Dockerfiles for Harbor compatibility
2026-02-01,fix: update Harbor link and remove MCP servers parenthetical
2026-02-01,fix: add agent module directory to PYTHONPATH in all runners
2026-02-01,fix: correct 21 broken task_dir paths in selected_benchmark_tasks.json
2026-02-01,fix: remove selected_benchmark_tasks.json from repo root
2026-02-01,fix: show only curated task counts and remove MCP Value columns
2026-02-01,fix: correct stale task counts in README files
